model_name,model_family,modality,body_region,patient_population,age_groups,clinical_problem,task,model_description,release_status,release_evidence,code_url,journal,year,citations,citations_per_year,rcr,fwci,nih_percentile,doi,url,title,first_author,study_design,dataset_size,data_source,validation,headline_result,pmid,record_id,source,is_preprint,confidence,overridden_fields,extractor_model,prompt_version,extracted_on
,"radiomics with decision tree, logistic regression and support vector machine (nomogram)",nuclear / PET; CT,abdomen (neuroblastoma),104 patients with neuroblastoma,pediatric (unspecified),predicting MYCN amplification status in pediatric neuroblastoma noninvasively using 18F-FDG PET/CT,outcome prediction,Input: 18F-FDG PET/CT images plus clinical and radiological features; output: a clinical-radiological-radiomics nomogram predicting MYCN amplification status.,unclear,,,Insights into imaging,2023,10,3.33,1.5,,64.3,10.1186/s13244-023-01493-8,https://doi.org/10.1186/s13244-023-01493-8,Predicting MYCN amplification in paediatric neuroblastoma: development and validation of a 18F-FDG PET/CT-based radiomics signature.,Qian LD,retrospective model development and validation,104 patients,not stated,internal only,"Clinical-radiological-radiomics model AUC 0.860 (training), 0.824 (validation)",38001240,38001240,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,radiomics + LASSO,CT,abdomen (neuroblastoma),87 pediatric neuroblastoma patients with genetic testing,child,"noninvasively predict segmental chromosomal aberrations (1p36, 11q23) in pediatric neuroblastoma using CT radiomics",outcome prediction,"Radiomics features extracted from 3-phase contrast CT, selected via LASSO regression, are used to compute a radiomics score predicting segmental chromosomal aberration status (1p36 and 11q23) in pediatric neuroblastoma.",unclear,,,Journal of computer assisted tomography,2023,2,1.0,0.66,,36.6,10.1097/RCT.0000000000001564,https://doi.org/10.1097/RCT.0000000000001564,Computed Tomography-Based Radiomics Signature for Predicting Segmental Chromosomal Aberrations at 1p36 and 11q23 in Pediatric Neuroblastoma.,Wang H,retrospective diagnostic radiomics model development and validation,87 pediatric patients,single center,internal only,"AUC 0.869 (training), 0.883 (test)",38013242,38013242,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,radiomics (LASSO-selected feature model),CT,abdomen (peripheral neuroblastic tumors),"405 pediatric patients with malignant peripheral neuroblastic tumors (mean age 33.8 months), 2010-2018",infant; child,Preoperatively stratifying risk (low/intermediate/high) in pediatric malignant peripheral neuroblastic tumors from CT,outcome prediction,"A radiomics model using LASSO-selected features from manually segmented tumors on preoperative CT to classify tumors into low-, intermediate-, and high-risk groups, compared to an image-defined risk-factor model.",unclear,,,Medicine,2023,1,0.33,0.16,,10.9,10.1097/MD.0000000000035690,https://doi.org/10.1097/MD.0000000000035690,Computed tomography-based radiomics to assess risk stratification in pediatric malignant peripheral neuroblastic tumors.,Wang X,Retrospective single-center model development study,405 patients,single center,internal only,"AUC 0.903 (high- vs non-high-risk), 0.747 (intermediate vs low)",38013377,38013377,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,MRI,brain (pediatric brain tumors),systematic review of 45 publications on AI tools for pediatric brain tumors in Europe,pediatric (unspecified),bias and generalizability of AI algorithms for pediatric brain tumor classification and prognosis,other,"Systematic bibliometric review of data sources (imaging modality, geography, cohort size) used to develop AI tools for pediatric brain tumors; 35/45 studies used MRI to predict tumor classification and prognosis, examining bias and generalizability.",unclear,,,Frontiers in oncology,2023,6,2.0,1.0,,50.3,10.3389/fonc.2023.1285775,https://doi.org/10.3389/fonc.2023.1285775,A systematic review of data sources for artificial intelligence applications in pediatric brain tumors in Europe: implications for bias and generalizability.,Tozzi AE,systematic review / bibliometric analysis,"45 publications reviewed (median n=89 single-center, 120 multicenter)",not stated,none / not stated,35/45 studies used MRI; median n=89 (single-center) vs 120 (multicenter); 17/45 used UK datasets,38016063,38016063,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
Kids Fracture Expert,support vector regression (SVR),x-ray / radiography,limb (long bones),children under age 12 with limb fractures imaged by radiography at University Malaya Medical Centre,child,prediction of pediatric limb fracture healing time,outcome prediction,"Using data associated with pediatric limb-fracture radiographs (fracture characteristics and age from time of trauma), a support vector regression model predicts fracture healing time and identifies variables associated with it; the resulting expert system is deployed as an online tool for clinicians.",unclear,"A working online tool is available at https://kidsfractureexpert.com/, but the abstract does not state that code or model weights are released.",,Health informatics journal,2023,0,0.0,0.0,,0.0,10.1177/14604582231218530,https://doi.org/10.1177/14604582231218530,Paediatric orthopaedic expert system.,Lau CF,retrospective technical development (deployed as an online expert system),not stated,single center,none / not stated,,38019888,38019888,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,,ultrasound,fetal head,de-identified fetal head ultrasound images (3832 images),fetal,"Provides annotated fetal head ultrasound images (brain, cavum septum pellucidum, lateral ventricles) as training/validation data to support development of AI algorithms for prenatal biometry",other,"A public dataset of 3832 annotated fetal head ultrasound images, labeled for brain, cavum septum pellucidum, and lateral ventricle structures, released in 11 annotation formats to support computer vision algorithm development.",open-source,assembled under the Creative Commons Attribution 4.0 International license... available in 11 universally accepted formats,,Data in brief,2023,12,4.0,2.47,,79.3,10.1016/j.dib.2023.109708,https://doi.org/10.1016/j.dib.2023.109708,Large-scale annotation dataset for fetal head biometry in ultrasound images.,Alzubaidi M,dataset descriptor / data resource paper,3832 ultrasound images,public dataset,none / not stated,"inter-rater ICC 0.859-0.889, Jaccard similarity 0.855-0.857",38020431,38020431,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,CNN + XGBoost hybrid,x-ray / radiography,chest,Public pediatric chest X-ray dataset from Guangzhou Women and Children's Medical Centre,pediatric (unspecified),Can a CNN-XGBoost model accurately classify chest X-rays as viral or bacterial pneumonia to assist interpretation regardless of radiologist experience?,detection / diagnosis,Takes chest X-ray images as input; a CNN-XGBoost hybrid model outputs classification of viral vs. bacterial pneumonia.,unclear,,,Polish journal of radiology,2023,7,2.33,1.23,,57.6,10.5114/pjr.2023.132533,https://doi.org/10.5114/pjr.2023.132533,An improvement of the CNN-XGboost model for pneumonia disease classification.,Hedhoud Y,retrospective study using public dataset,,public dataset,internal only,"87% accuracy, 89% specificity, 85% sensitivity, within 7 seconds",38020497,38020497,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,Multi-Layer Perceptron (MLP),multiple,brain (frontal lobe),37 children with frontal lobe epilepsy and 20 controls (primary cohort); 12 FLE children (independent site),child,Detect and localize focal cortical dysplasia in children with frontal lobe epilepsy using MRI and PET,detection / diagnosis,"Takes radiomic and morphological features (from gray/white matter regions of interest, including hemispheric asymmetry) extracted from MRI and PET as input to an MLP classifier that localizes FCD lesions.",unclear,,,Frontiers in neuroscience,2023,4,1.33,0.68,,37.7,10.3389/fnins.2023.1289897,https://doi.org/10.3389/fnins.2023.1289897,Enhanced focal cortical dysplasia detection in pediatric frontal lobe epilepsy with asymmetric radiomic and morphological features.,Zhang M,retrospective radiomics model development with independent-site validation,37 FLE children + 20 controls (primary cohort); 12 children (independent site),multi center,external / multi-center,Sensitivity 89.2%/91.7% and AUC 98.9%/99.3% in frontal lobe (primary/independent site),38033536,38033536,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,LSTM (deep learning),ultrasound,hip,"infants aged 0-6 months (retrospective) and 5-11 months (prospective), Shenzhen Children's Hospital",infant,"determine ultrasound image quality and suitability for developmental dysplasia of the hip (DDH) screening in infants, adjusting for infant characteristics, and automate alpha/beta angle measurement",measurement / quantification,"Long short-term memory (LSTM) model fits infant gender, age, height, and weight to a weighted hip ultrasound image-quality score, and AI-based automatic measurement of alpha and beta angles is compared against manual measurement for DDH assessment.",unclear,,,Frontiers in pediatrics,2023,2,0.67,0.52,,30.3,10.3389/fped.2023.1293320,https://doi.org/10.3389/fped.2023.1293320,"A deep learning model adjusting for infant gender, age, height, and weight to determine whether the individual infant suit ultrasound examination of developmental dysplasia of the hip (DDH).",Chen X,retrospective plus prospective cohort study with model development,,single center,internal only,LSTM model R2 0.95; ICC for alpha/beta angles manual vs AI 0.98/0.93,38046675,38046675,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,"machine learning classifiers (best: XGBoost-linear, random forest, among seven evaluated)",MRI,fetal brain (cortical gyrification),"162 fetuses from 2 clinical sites: 134 controls, 12 with lissencephaly, 13 with polymicrogyria, 3 suspected-but-normal",fetal,"automatically quantifying fetal brain gyrification from routinely acquired 2D MRI to detect gyrification abnormalities (lissencephaly, polymicrogyria)",measurement / quantification; detection / diagnosis,"Automatic pipeline that segments the fetal brain on 2D T2-weighted MRI, computes five gyrification parameters per hemisphere, and applies machine learning classifiers (best-performing: XGBoost-linear, random forest) to differentiate lissencephaly and polymicrogyria from normal fetal brains",unclear,,,AJNR. American journal of neuroradiology,2023,8,2.67,1.71,,68.6,10.3174/ajnr.A8046,https://doi.org/10.3174/ajnr.A8046,Automatic Quantification of Normal Brain Gyrification Patterns and Changes in Fetuses with Polymicrogyria and Lissencephaly Based on MRI.,Yehuda B,retrospective multi-site study,162 fetuses from 2 clinical sites,multi center,internal only,"XGBoost-linear AUC 0.90, recall 0.83 (lissencephaly vs control); random forest AUC 0.84, recall 0.62 (polymicrogyria vs control)",38050002,38050002,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
